date,nbs_manufacturing_pmi,non_manufacturing_pmi,nbs_general_pmi
2024-05-01,49.5,51.1,51
2024-06-01,49.5,50.5,50.5
2024-07-01,49.4,50.2,50.2
2024-08-01,49.1,50.3,50.1
2024-09-01,49.8,50,50.4
2024-10-01,50.1,50.2,50.8
2024-11-01,50.3,50,50.8
2024-12-01,50.1,52.2,52.2
2025-01-01,49.1,50.2,50.1
2025-02-01,50.2,50.4,51.1
2025-03-01,50.5,50.8,51.4
2025-04-01,49,50.4,50.2
2025-05-01,49.5,50.3,50.4
2025-06-01,49.7,50.5,50.7
2025-07-01,49.3,50.1,50.2
2025-08-01,49.4,50.3,50.5
2025-09-01,49.8,50,50.6
2025-10-01,49,50.1,50
2025-11-01,49.2,49.5,49.7
2025-12-01,50.1,50.2,50.7
2026-01-01,49.3,49.4,49.8
2026-02-01,49,49.5,49.5
2026-03-01,50.4,50.1,50.5
2026-04-01,50.3,49.4,50.1
