data,汇率
2019-10-15,7.0814
2019-10-16,7.0920
2019-10-17,7.0766
2019-10-18,7.0805
2019-10-19,7.0805
2019-10-20,7.0805
2019-10-21,7.0748
2019-10-22,7.0761
2019-10-23,7.0624
2019-10-24,7.0684
2019-10-25,7.0647
2019-10-26,7.0647
2019-10-27,7.0647
2019-10-28,7.0670
2019-10-29,7.0655
2019-10-30,7.0541
2019-10-31,7.0379
2019-11-01,7.0368
2019-11-02,7.0368
2019-11-03,7.0368
2019-11-04,7.0300
2019-11-05,7.0082
2019-11-06,6.9968
2019-11-07,6.9766
2019-11-08,6.9954
2019-11-09,6.9954
2019-11-10,6.9954
2019-11-11,6.9954
2019-11-12,7.0066
2019-11-13,7.0223
2019-11-14,7.0195
2019-11-15,7.0075
2019-11-16,7.0075
2019-11-17,7.0075
2019-11-18,7.0246
2019-11-19,7.0263
2019-11-20,7.0344
2019-11-21,7.0285
2019-11-22,7.0389
2019-11-23,7.0389
2019-11-24,7.0389
2019-11-25,7.0349
2019-11-26,7.0319
2019-11-27,7.0280
2019-11-28,7.0280
2019-11-29,7.0308
2019-11-30,7.0308
2019-12-01,7.0308
2019-12-02,7.0380
2019-12-03,7.0609
2019-12-04,7.0489
2019-12-05,7.0445
2019-12-06,7.0348
2019-12-07,7.0348
2019-12-08,7.0348
2019-12-09,7.0389
2019-12-10,7.0328
2019-12-11,7.0384
2019-12-12,6.9925
2019-12-13,6.9925
2019-12-14,6.9925
2019-12-15,6.9925
2019-12-16,6.9921
2019-12-17,6.9967
2019-12-18,7.0029
2019-12-19,7.0097
2019-12-20,7.0063
2019-12-21,7.0063
2019-12-22,7.0063
2019-12-23,7.0124
2019-12-24,7.0064
2019-12-25,7.0064
2019-12-26,6.9949
2019-12-27,6.9954
2019-12-28,6.9954
2019-12-29,6.9954
2019-12-30,6.9864
2019-12-31,6.9618
2020-01-01,6.9618
2020-01-02,6.9642
2020-01-03,6.9649
2020-01-04,6.9649
2020-01-05,6.9649
2020-01-06,6.9749
2020-01-07,6.9443
2020-01-08,6.9447
2020-01-09,6.9309
2020-01-10,6.9178
2020-01-11,6.9178
2020-01-12,6.9178
2020-01-13,6.8924
2020-01-14,6.8837
2020-01-15,6.8899
2020-01-16,6.8769
2020-01-17,6.8589
2020-01-18,6.8589
2020-01-19,6.8589
2020-01-20,6.8589
2020-01-21,6.9049
2020-01-22,6.9040
2020-01-23,6.9364
2020-01-24,6.9161
2020-01-25,6.9161
2020-01-26,6.9161
2020-01-27,6.9161
2020-01-28,6.9161
2020-01-29,6.9161
2020-01-30,6.9161
2020-01-31,6.9161
2020-02-01,6.9161
2020-02-02,6.9161
2020-02-03,7.0208
2020-02-04,6.9979
2020-02-05,6.9720
2020-02-06,6.9694
2020-02-07,7.0003
2020-02-08,7.0003
2020-02-09,7.0003
2020-02-10,6.9820
2020-02-11,6.9650
2020-02-12,6.9708
2020-02-13,6.9759
2020-02-14,6.9859
2020-02-15,6.9859
2020-02-16,6.9859
2020-02-17,6.9859
2020-02-18,6.9949
2020-02-19,6.9975
2020-02-20,7.0225
2020-02-21,7.0255
2020-02-22,7.0255
2020-02-23,7.0255
2020-02-24,7.0286
2020-02-25,7.0128
2020-02-26,7.0214
2020-02-27,7.0036
2020-02-28,6.9906
2020-02-29,6.9906
2020-03-01,6.9906
2020-03-02,6.9595
2020-03-03,6.9579
2020-03-04,6.9244
2020-03-05,6.9366
2020-03-06,6.9298
2020-03-07,6.9298
2020-03-08,6.9298
2020-03-09,6.9448
2020-03-10,6.9549
2020-03-11,6.9595
2020-03-12,7.0282
2020-03-13,7.0079
2020-03-14,7.0079
2020-03-15,7.0079
2020-03-16,6.9913
2020-03-17,7.0030
2020-03-18,7.0459
2020-03-19,7.1058
2020-03-20,7.0950
2020-03-21,7.0950
2020-03-22,7.0950
2020-03-23,7.0900
2020-03-24,7.0610
2020-03-25,7.1099
2020-03-26,7.0709
2020-03-27,7.0942
2020-03-28,7.0942
2020-03-29,7.0942
2020-03-30,7.0986
2020-03-31,7.0808
2020-04-01,7.0989
2020-04-02,7.0857
2020-04-03,7.0908
2020-04-04,7.0908
2020-04-05,7.0908
2020-04-06,7.0895
2020-04-07,7.0448
2020-04-08,7.0649
2020-04-09,7.0428
2020-04-10,7.0341
2020-04-11,7.0341
2020-04-12,7.0341
2020-04-13,7.0501
2020-04-14,7.0479
2020-04-15,7.0664
2020-04-16,7.0778
2020-04-17,7.0711
2020-04-18,7.0711
2020-04-19,7.0711
2020-04-20,7.0721
2020-04-21,7.0914
2020-04-22,7.0831
2020-04-23,7.0654
2020-04-24,7.0813
2020-04-25,7.0813
2020-04-26,7.0813
2020-04-27,7.0848
2020-04-28,7.0776
2020-04-29,7.0755
2020-04-30,7.0622
2020-05-01,7.0622
2020-05-02,7.0622
2020-05-03,7.0622
2020-05-04,7.0622
2020-05-05,7.0622
2020-05-06,7.1031
2020-05-07,7.0825
2020-05-08,7.0732
2020-05-09,7.0732
2020-05-10,7.0732
2020-05-11,7.0972
2020-05-12,7.0816
2020-05-13,7.0911
2020-05-14,7.0935
2020-05-15,7.1013
2020-05-16,7.1013
2020-05-17,7.1013
2020-05-18,7.1086
2020-05-19,7.0980
2020-05-20,7.0928
2020-05-21,7.1138
